id,name,prefecture,region,city,genre,lat,lng,opensAt,closesAt,days,menu,url
JP-01-A,Sapporo Street Bites,Hokkaido,Hokkaido,Sapporo,Burger,43.1342,141.4069,10:00,18:00,1|2|3|4|5,Burger Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/hokkaido/street-bites
JP-01-B,Sapporo Night Caravan,Hokkaido,Hokkaido,Sapporo,Kebab,43.0042,141.2969,11:30,20:00,2|3|4|5|6,Kebab Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/hokkaido/night-caravan
JP-02-A,Aomori Street Bites,Aomori,Tohoku,Aomori,Taco,40.8944,140.8,11:00,19:00,2|3|4|5|6,Taco Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/aomori/street-bites
JP-02-B,Aomori Night Caravan,Aomori,Tohoku,Aomori,Curry,40.7644,140.69,12:30,21:00,0|1|5|6,Curry Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/aomori/night-caravan
JP-03-A,Morioka Street Bites,Iwate,Tohoku,Morioka,Crepe,39.7736,141.2127,12:00,20:00,0|1|5|6,Crepe Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/iwate/street-bites
JP-03-B,Morioka Night Caravan,Iwate,Tohoku,Morioka,Ramen,39.6436,141.1027,11:30,20:00,3|4|5|6,Ramen Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/iwate/night-caravan
JP-04-A,Sendai Street Bites,Miyagi,Tohoku,Sendai,Kebab,38.3382,140.9294,10:00,18:00,3|4|5|6,Kebab Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/miyagi/street-bites
JP-04-B,Sendai Night Caravan,Miyagi,Tohoku,Sendai,Coffee,38.2082,140.8194,12:30,21:00,1|2|3|4|5,Coffee Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/miyagi/night-caravan
JP-05-A,Akita Street Bites,Akita,Tohoku,Akita,Curry,39.7886,140.1624,11:00,19:00,1|2|3|4|5,Curry Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/akita/street-bites
JP-05-B,Akita Night Caravan,Akita,Tohoku,Akita,Vegan,39.6586,140.0524,11:30,20:00,2|3|4|5|6,Vegan Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/akita/night-caravan
JP-06-A,Yamagata Street Bites,Yamagata,Tohoku,Yamagata,Ramen,38.3104,140.4233,12:00,20:00,2|3|4|5|6,Ramen Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/yamagata/street-bites
JP-06-B,Yamagata Night Caravan,Yamagata,Tohoku,Yamagata,Burger,38.1804,140.3133,12:30,21:00,0|1|5|6,Burger Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/yamagata/night-caravan
JP-07-A,Fukushima Street Bites,Fukushima,Tohoku,Fukushima,Coffee,37.8203,140.5276,10:00,18:00,0|1|5|6,Coffee Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/fukushima/street-bites
JP-07-B,Fukushima Night Caravan,Fukushima,Tohoku,Fukushima,Taco,37.6903,140.4176,11:30,20:00,3|4|5|6,Taco Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/fukushima/night-caravan
JP-08-A,Mito Street Bites,Ibaraki,Kanto,Mito,Vegan,36.4118,140.5068,11:00,19:00,3|4|5|6,Vegan Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/ibaraki/street-bites
JP-08-B,Mito Night Caravan,Ibaraki,Kanto,Mito,Crepe,36.2818,140.3968,12:30,21:00,1|2|3|4|5,Crepe Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/ibaraki/night-caravan
JP-09-A,Utsunomiya Street Bites,Tochigi,Kanto,Utsunomiya,Burger,36.6358,139.9436,12:00,20:00,1|2|3|4|5,Burger Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/tochigi/street-bites
JP-09-B,Utsunomiya Night Caravan,Tochigi,Kanto,Utsunomiya,Kebab,36.5058,139.8336,11:30,20:00,2|3|4|5|6,Kebab Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/tochigi/night-caravan
JP-10-A,Maebashi Street Bites,Gunma,Kanto,Maebashi,Taco,36.4612,139.1209,10:00,18:00,2|3|4|5|6,Taco Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/gunma/street-bites
